,IDEA,MAXI,UNIVEREXPORT,TEMPO,DIS,RODA,LIDL
NIVEA za zatezanje kože 45+ 50ml,"619,99","482,99","827,99","569,00",-,"619,99",-
MIXA Hyalurogel krema 50ml,-,"829,99",-,"599,99",-,-,-
BIOTEN Hyaluronic Antirid krema 15ml,-,-,-,"625,99",-,-,-
MULTIACTIV Q10 krema 15ml,"729,99",-,-,-,-,"729,99",-
BIOTEN CC tonirana krema svetla 50ml,-,-,-,"674,99",-,-,-
NIVEA BB tonirana krema svetla 50ml,"639,99",-,-,"549,00",-,"639,99",-
Pasta AQUAFRESH Fresh & Minty 125ml,"149,99","114,99","211,99","209,99","149,99","149,99",-
Pasta AQUAFRESH Herbal 125ml,"169,99","149,99",-,"219,99",-,"169,99",-
Pasta AQUAFRESH Mild & Minty 75ml,"149,99","114,99","211,99","209,99","149,99","149,99",-
Pasta ASTERA HOMEOPATHICA white 75ml,"279,99",-,-,"399,99",-,"279,99",-
Pasta COLGATE Cavity protection 100ml,"114,99","129,99","166,99","158,99","179,99","114,99",-
Pasta COLGATE gum revitalise 75ml,-,-,"284,99",-,-,"369,99",-
Pasta COLGATE Max clean 75ml,"209,99",-,-,"219,99",-,"209,99",-
Pasta COLGATE Max fresh Cool mint 75ml,"199,99","339,99","303,99","199,99","318,99","309,99",-
Pasta COLGATE Max protect white 75ml,"209,99","335,99","305,99","219,99","318,99","209,99",-
Pasta COLGATE Max white Crystal mint 75ml,"199,99","339,99","305,99","199,99","318,99","269,99",-
Pasta COLGATE Maxi white One active 75ml,"269,99","456,99","269,99","419,99",-,"269,99",-
Pasta COLGATE Naturals extracts Charcoal 75ml,"449,99","449,99","299,99","419,99",-,"419,99",-
Pasta COLGATE Total advance freshening 100ml,"409,99","409,99","384,99","249,00","269,99","389,99",-
Pasta COLGATE Total white 75ml,"409,99","409,99","384,99","249,00",-,-,-
Pasta COLGATE Triple Action 150ml,"264,99","239,99","149,99","149,99","240,99","254,99",-
Pasta ELMEX Caries 75ml,"559,99","539,99","412,99","509,99","499,99","509,99",-
Pasta KOLYNOS Super white 75ml,"179,99","179,99","155,99","154,99","158,99","154,99",-
Pasta LACALUT Flora 75ml,-,-,"416,99","419,99","339,99",-,-
Pasta LACALUT Sensitive 75ml,"380,00","463,99","359,99","439,99","339,99","380,00",-
Pasta PARODONTAX Classic 75ml,"369,99","519,99",-,"559,99",-,"369,99",-
Pasta PARODONTAX Extra fresh 75ml,"369,99","399,99","349,99","559,99","379,99","369,99",-
Pasta PARODONTAX Ultra clean 75m,"369,99","589,99",-,"559,99","379,99","369,99",-
Pasta SENSODYNE Complete Protection 75ml,-,-,"468,99",-,"718,99","689,99",-
Pasta SENSODYNE Repair & protect 75ml,"779,99","779,99","489,99","489,99",-,"749,99",-
Pasta SIGNAL Cavity protection 75ml,"194,99","162,99","168,99","166,99",-,"169,99",-
Pasta SIGNAL Herbal fresh 75ml,"194,99","171,99","168,99","166,99","169,99","169,99",-
Pasta VADEMECUM 2in1 Menthol fresh 75ml,"329,99","326,99","292,99","199,00","273,99","309,99",-
Pasta VADEMECUM anti-caries naturel 75ml,"179,99","129,00","141,99","99,99","142,99","149,99",-
Pasta VADEMECUM Natural white 75ml,"179,99","149,99","141,99","99,99","119,99","149,99",-
Pasta VADEMECUM PRO vitamin whitening 75ml,"329,99","219,00","292,99","199,00","294,99","309,99",-
Pasta VADEMECUM White & Charcoal 75ml,"329,99","199,00","292,99","199,00","294,99","309,99",-
Tečnosti za ispiranje usta COLGATE plax 250ml,"369,99","499,99","472,99","469,99","479,99","369,99",-
Tečnosti za ispiranje usta LISTERINE advanced White 250ml,"629,99",-,"635,99",-,-,-,-
Tečnosti za ispiranje usta LISTERINE Cool mint 250ml,"519,99",-,"533,99",-,"399,99","589,99",-
Tečnosti za ispiranje usta LISTERINE Fresh Brust 500ml,-,-,-,-,"559,99","689,99",-
Tečnosti za ispiranje usta LISTERINE Total care 250ml,"629,99","619,99","635,99","589,99",-,"589,99",-
Tečnosti za ispiranje usta ORAL B 250ml,-,"319,99",-,"338,99",-,-,-
Toalet papir PALOMA Green tea 3sloja 10kom,-,"683,99",-,"679,99",-,"669,99",-
Toalet papir PERFEX 2sloja 4kom,-,-,"119,99",-,"120,99",-,-
Toalet papir PERFEX 3sloja 10kom,"439,99","395,99","289,99","373,99","411,99",-,-
Toalet papir PERFEX 3sloja 4kom,"129,99",-,"179,99",-,"181,99","129,99",-
Toalet papir PERFEX breskva 3sloja 10kom,"439,99","395,99","379,99","379,99","411,99","409,99",-
Toalet papir PERFEX cotton comfort 3sloja 16kom,-,"837,99","799,99","692,99","808,99","629,99",-
Toalet papir PERFEX cotton like 3sloja 4kom,"179,99","236,99","234,99","204,99","252,99","179,99",-
Toalet papir PERFEX Cotton like Baby powder 10kom,-,"573,99","553,99","551,99","566,99","579,99",-
Toalet papir PERFEX Premium cotton like 8kom,-,"603,99",-,"538,99",-,"679,99",-
Toalet papir ZEWA kamilica 3sloja 16kom,-,"1.129,99",-,"779,99",-,-,-
Toalet papir ZEWA parfem peach 16kom,"1.199,99","1.129,99","799,99","879,99","849,99",-,-
Toalet papir ZEWA peach 3sloja 20kom,"1.329,99",-,-,"799,00","1.499,99","1.119,00",-
Toalet papir ZEWA pure white 3sloja 4kom,"239,99","249,99","354,99","377,99","389,99","239,99",-
Toalet papir FLORALYS 2sloja 8kom,-,-,-,-,-,-,"269,99"
Toalet papir FLORALYS 4sloja 10kom 160 listića,-,-,-,-,-,-,"489,99"
Ubrus PALOMA štampani 2sloja 2kom,-,"204,99",-,"182,99",-,-,-
Ubrus PERFEX Jumbo 1kom,"129,99","229,99","182,99","197,99","189,99","129,99",-
Ubrus PERFEX Professional 1kom,-,-,"289,99","341,99","377,99",-,-
Ubrus PERFEX žuti 2sloja 2kom,"179,99","171,99","142,99","143,99","155,99","129,99",-
Ubrus REGINA Love 3sloja 2kom,"359,99","564,99","537,99","549,99","561,99","359,99",-
Ubrus VIOLETA XXL 3sloja 1kom,"179,99",-,"211,99",-,-,"179,99",-
Ubrus ZEWA Jumbo 2sl 1kom,"519,99",-,"549,99","719,99",-,"519,99",-
Ubrus FLORALYS 2sloja 1kom,-,-,-,-,-,-,"459,99"
Ubrus FLORALYS 3sloja 2kom,-,-,-,-,-,-,"119,99"
Blaznice COTONEVE za šminku 80+20kom,"174,99","174,99","99,99","148,99","143,99",-,-
BONI Feel fine 200g,-,"289,99",-,"269,99",-,-,-
BONI Yup 200g,-,-,"260,99",-,-,-,-
NIVA Cik-Cak 100g,-,"139,99","137,99","135,99",-,-,-
NIVA Cik-Cak 200g,-,"279,99","258,99","259,99",-,-,-
COCCOLINO blue 37 pranja (925ml),"379,99",-,"340,99",-,"229,99","349,99",-
DUEL baby care 1l,-,-,"285,99",-,-,-,-
LENOR Moonlight Harmony 33 pranja (1l),"239,99",-,"258,99",-,"239,99","239,99",-
LENOR Spring Awakening 33 pranja (1l),"339,99","314,99","289,99","310,99","239,99","319,99",-
ORNEL Golden dream 900ml,-,-,"209,99",-,-,-,-
ORNEL Unique 36 pranja (900ml),-,"303,99",-,"260,99",-,-,-
SILAN Cool Fresh 32 pranja (800ml),-,-,"179,99",-,-,-,-
SILAN Magnolia 32 pranja (800ml),"199,99","256,99","189,99","199,99","247,99","199,99",-
"COCCOLINO blue 42 pranja (1,05l)","379,99","345,99","369,99","219,99","229,99","349,99",-
"COCCOLINO blue 72 pranja (1,8l)","399,99","399,99","379,99","577,99","379,99","399,99",-
COCCOLINO fresh sky 58 pranja (870ml),"399,99",-,"379,99",-,-,"399,99",-
COCCOLINO Intense divine 870ml,"399,99","669,99","651,99","399,99",-,"399,99",-
COCCOLINO Intense heavenly 870ml,"399,99","699,99","651,99","399,99",-,"399,99",-
"COCCOLINO Purple orchid 1,68l","659,99",-,-,"399,99",-,"639,99",-
"COCCOLINO sensitive 72 pranja (1,8l)","399,99","399,99","379,99","634,99","379,99","399,99",-
COCCOLINO sun 64 pranja (960ml),-,-,-,-,-,"599,99",-
"COCCOLINO Water lilly & pink grapefruit 1,68l","659,99","658,99","607,99","399,99","379,99","639,99",-
BOHOR Azure 3600ml,"499,99","694,99","672,99","689,99","539,99","449,99",-
DUEL soft lotus 1.9l,"319,99","484,99","319,99","393,99","460,99","319,99","389,99"
"LENOR Baby Sensitive 57 pranja (1,71l)","379,99","430,99","329,99","379,99","424,99","379,99",-
"LENOR Emerald & Ivory flower 50 pranja (1,5l)","379,99","496,99",-,"379,99",-,"379,99",-
"LENOR Fresh Meadow 57 pranja (1,71l)","379,99","495,99","514,99","379,99","424,99","379,99",-
"LENOR Gold Orchid 33 pranja (1,5l)","379,99","435,99","329,00","379,99","429,99","379,99",-
"LENOR La Magnifique  48 pranja (1,44l)",-,"501,99","514,99","379,99","423,99","499,99",-
"LENOR Lime & sea salt 48 pranja (1,44l)",-,"430,99","514,99","379,99",-,"499,99",-
"LENOR Moonlight Harmony 33 pranja (1,9l)",-,-,-,-,-,"499,99",-
"LENOR peony & hibiscus 48 pranja (1,44l)",-,-,"496,99",-,-,"499,99",-
"LENOR Spring Awakening 33 pranja (1,9l)",-,-,-,-,-,"499,99",-
"LENOR Spring Awekening 57 pranja (1,71l)","379,99","430,99","329,00","379,99","424,99","379,99",-
"ORNEL Calming 1,8l","499,99",-,"335,99","479,99",-,"479,99",-
"ORNEL Violet 1,8l","499,99",-,"335,99","479,99",-,"479,99",-
"SEMANA Moonflower azure 76 pranja (1,9l)",-,-,"596,99",-,"439,99",-,-
SILAN Cool Fresh 58 pranja (1450ml),"329,99","309,99","464,99","484,99","289,99","329,99",-
SILAN Magnolia 58 pranja (1450ml),"499,99","309,99","464,99","484,99","289,99","279,99",-
SILAN Sensitive 72 pranja (1800ml),-,"509,99","309,99","309,99","329,99","329,99",-
"SILAN Supreme glamour 48 pranja (1,2l)","329,99","259,99","464,99","464,99","446,99","474,99",-
SILAN ylang-ylang & vetiver 58 pranja (1450ml),"329,99",-,"464,99",-,"289,99","489,99",-
"CHICCO superkoncetrovani 1,5l","499,99","556,99","488,99","619,99","620,99","499,99",-
"LENOR Spring Awakening 2x 1,9l (126 pranja)",-,-,-,-,-,"879,99",-
"ORNEL Calming 2,7l","629,99","586,99",-,"592,99",-,"574,99",-
"ORNEL Violet 2,7l","599,99",-,-,-,-,-,-
SILAN Sentisive 111 pranja (2775ml),-,"580,99",-,"551,99",-,-,-
BOHOR 900ml,"229,99","227,99","139,99","199,99","169,99","149,99",-
CHICCO superkoncetrovani 750ml,"289,99","259,99","229,99","352,99","377,99","264,99",-
FROSCH Almond 750ml,"219,99","307,99","229,99","299,99",-,"219,99",-
FROSCH Cotton Blossom 750ml,"219,99","307,99","229,99","299,99",-,"219,99",-
BOHOR 1800ml,"279,99","375,99","249,99","369,99","299,99","469,99",-
FELCE AZZURRA Pelli Sensibili 2l,"519,99",-,-,-,-,-,-
Maramice za čišćenje DOMESTOS lemon 60kom,"319,99",-,-,"475,99",-,"319,99",-
Maramice za čišćenje DOMESTOS ocean 60kom,"319,99",-,"456,99","309,00",-,"319,99",-
Sona kiselina LAVAZZA 1l,-,"99,99","109,99","99,99",-,-,-
Sona kiselina 16-18% 1l,-,-,-,-,-,-,"88,99"
Granule RORAX Power 60g,"114,99","69,99","98,99","94,99","103,99","99,99",-
Granule TUB.O.FLO vruća voda 100g,"69,99","109,99","89,99","59,99","69,99","69,99",-
Sredstvo PANONIJA Cevotok 1l,"419,99",-,"296,99",-,"346,99","379,99",-
Sredstvo WC NET energy gel 1l,-,"496,99",-,"477,99",-,-,-
DR.BECKMANN sredstvo za čišćenje mašina za veš 250g,"519,99","503,99",-,"479,99","510,99","499,99",-
DR.BECKMANN čistač veš mašina prašak 250g,"519,99","515,99",-,"490,99",-,-,-
Sredstvo za skidanje kamenca CALGON za veš mašine 1kg,"849,99","1.115,00",-,"879,99","1.152,99","849,99",-
CIF odmašćivač 500ml,"349,99",-,-,"452,99",-,"349,99",-
SMAC express odmašćivač sa limunom 650ml,"299,99",-,"481,99","479,99","472,99","299,99",-
Sredstvo za čišćenje PRONTO classic lavender sprej 300ml,"399,99","649,99","449,99","639,99","641,99","399,99",-
Sredstvo za čišćenje PRONTO superficie 5in1 sprej 300ml,"399,99",-,"424,99",-,"599,99","399,99",-
Sredstvo CIF Disinfect & shine Flower breeze za podove 1l,"469,99",-,"239,99",-,-,"449,99",-
EMSAL sredstvo za čišćenje laminata 750ml,-,"570,99","526,99","526,99","516,99","489,99",-
EMSAL sredstvo za drvene površine 750ml,"329,99","528,99","476,99","319,99","472,99","329,99",-
Sredstvo AJAX Almond oil 1l,-,"359,99",-,"337,99","350,99",-,-
Sredstvo AJAX Lagoon Flow 1l,"229,99","369,99","321,99","249,99","246,99","229,99",-
Sredstvo AJAX Wild Flowers 1l,"229,99","359,99","321,99","249,99","246,99","229,99",-
Sredstvo PRONTO Extra care 750ml,"399,99","649,99","607,99","628,99",-,"399,99",-
Sredstvo za čišćenje PRONTO vosak 750ml,"499,99","819,99","742,99","770,99","791,99","499,99",-
DR.BECKMANN čistač tepiha 650ml,"849,99",-,-,-,-,"789,99",-
Sredstvo CIF za staklo 500ml,"199,99","266,99","249,99","220,99","159,99","199,99",-
FROSCH Sredstvo za čišćenje stakala Spiritus 500ml,"339,99","307,99","316,99","239,99",-,"319,99",-
Sredstvo AJAX Windows & shiny 750ml,-,"312,99",-,"273,99",-,"199,99",-
Sredstvo ARF Crystal Shine za staklo 750ml,-,"232,99","168,99","228,99",-,"234,99",-
Sredstvo AXEL Sgrasso 750ml,"319,99","320,99",-,"319,99","229,99","319,99",-
Sredstvo za čišćenje CLIN Glass 750ml,"169,99","169,99","234,59","223,99","203,99","169,99",-
Sredstvo za čišćenje CLIN Glass jabuka sa pumpicom 750ml,"199,99","189,99","219,99","209,99","229,99","199,99",-
Sredstvo za čišćenje CLIN Glass ProNature 750ml,"199,99","189,99","262,99","209,99",-,"199,99",-
SMAC express za kamenac 650ml,"299,99","467,99",-,"449,99","472,99","299,99",-
NUTRINO Organic kašica banana jabuka 190g,-,-,"216,99","199,99",-,"244,99","245,00"
NUTRINO Organic kašica jabuka 125g,-,-,"178,99","199,99",-,"199,99","169,00"
NUTRINO kašica breskva i pirinač 190g,-,"172,99","159,99","165,99","184,99",-,"185,00"
NUTRINO kašica jabuka banana keks 190g,"199,99","182,99","159,99","182,99","190,99","187,99","185,00"
NUTRINO kašica jabuka i bundeva 125g,"157,99","154,99","153,99","150,99",-,"147,99","125,00"
"NUTRINO kašica jabuka, banana i keks 125g","157,99","99,99","153,99","116,99","143,99","147,99","125,00"
NUTRINO kašica piletina i povrće 125g,-,"192,99","142,99","129,99","129,99","149,99","129,00"
NUTRINO kašica prva bundevica 80g,-,-,-,-,-,"99,99",-
NUTRINO kašica prva šargarepa 80g,-,-,-,-,-,"99,99",-
FRUTEK kašicabreskva pirinač 190g,"254,99","227,99","214,99","234,99","231,99",-,-
FRUTEK kašicajabuka piškota 190g,"264,99",-,"227,99",-,"245,99","249,99","219,00"
FRUTEK kašicašargarepa jabuka 120g,-,-,-,-,-,"149,99",-
HIPP kašica banana breskva 190g,"309,99","254,99","302,99","299,99","318,99","299,99","269,00"
HIPP kašica povrće ćuretina 220g,"269,99","319,99","320,99","249,99","336,99",-,"255,00"
JUVITANA kašica breskva 128g,"132,99","157,99","126,99","149,99","154,99","132,99","105,00"
JUVITANA kašica jabuka breskva 190g,"189,99",-,"160,99","214,99","159,99","189,99","139,00"
JUVITANA kašica kajsija 128g,"132,99","159,99","113,99","146,99","154,99","132,99","105,00"
JUVITANA kašica muskatna tikva 128g,"129,99",-,"116,99","119,99",-,"119,99",-
JUVITANA kašica povrće junetina 128g,"159,99","194,99","163,99","189,99","195,99","212,99","135,00"
JUVITANA kašica povrće teletina 128g,"194,99",-,"172,99",-,-,-,"135,00"
NUTRINO Organic voćni pire jabuka breskva banana 100g,-,-,"139,99","139,99",-,-,"139,00"
NUTRINO voćni pire jabuka banana keks 100g,"167,99","159,99","127,99","119,99","119,99","124,99","115,00"
NUTRINO voćni pire jabuka kruška banana sa žitaricama 100g,"167,99","129,99","127,99","139,99","119,99","139,99","115,00"
NUTRINO voćni pire jabuka kruška dunja 100g,"179,99","149,99","127,99","119,99","143,99","139,99","115,00"
NUTRINO voćni pire mix jabuka banana keks 220g,"199,99","209,99","166,99","169,99","159,99",-,"155,00"
NUTRINO voćni pire mix jabuka kruška dinja 220g,"209,99","199,99",-,"199,99","205,99","194,99","155,00"
Zamensko mleko APTAMIL EZP 1 800g,"2.129,99","1.994,00","2.099,99","2.039,99",-,"1.939,99",-
Zamensko mleko APTAMIL EZP 3 800g,"2.219,99","2.029,00","2.179,99","2.089,99",-,"1.939,99",-
Zamensko mleko APTAMIL pronutra+ 1 400g Milupa,"1.399,99","1.159,99",-,"1.219,00",-,-,-
Zamensko mleko APTAMIL pronutra+ 3 400g Milupa,"1.399,99","1.139,99",-,"1.219,00",-,-,-
Zamensko mleko HIPP combiotic 2 300g,"899,99","899,99",-,"889,99",-,"889,99",-
Zamensko mleko HIPP organic 2 300g,"869,99","863,99","749,99","829,99",-,"829,99","779,00"
Zamensko mleko HUMANA MP 2 800g,-,-,"2.149,99","1.999,00","1.699,99","1.999,99","1.699,00"
Zamensko mleko MILUPA Bebelac 2 400g,"769,99","769,99","759,99","749,99",-,-,"689,00"
Zamensko mleko MILUPA keks 250g,-,-,-,"519,99",-,-,-
Zamensko mleko MILUPA voće 250g,"299,99","519,99",-,"519,99",-,-,-
Zamensko mleko NAN Comfortis 2 800g,-,-,-,"2.119,00",-,"2.159,99","1.995,00"
Zamensko mleko NAN H.A. 2 400g,-,-,-,-,-,-,"1.179,00"
Zamensko mleko NAN Optipro 2 6m 800g,"2.299,99","2.009,00",-,"1.996,99","2.138,99","2.179,99","2.119,00"
Zamensko mleko NOVALAC 1 400g,-,"929,99",-,"919,99",-,-,"779,00"
Zamensko mleko NOVALAC 3 400g,-,"929,99",-,"919,99",-,-,"899,00"
